Region,Poblacion,NodeCasosconfirmados,Tasaincidencia&
Arica y Parinacota ,252110 ,7 ,2.8 
Tarapaca ,382773 ,12 ,3.1 
Antofagasta ,691854 ,47 ,6.8 
Atacama ,314709 ,3 ,1.0 
Coquimbo ,836096 ,34 ,4.1 
Valparaiso ,1960170 ,156 ,8.0 
Metropolitana ,8125072 ,1636 ,20.1 
O'Higgins ,991063 ,32 ,3.2 
Maule ,1131939 ,82 ,7.2 
Nuble ,511551 ,341 ,66.7 
Biobio ,1663696 ,275 ,16.5 
Araucania ,1014343 ,389 ,38.3 
LOs Rios ,405835 ,68 ,16.8 
LOs Lagos ,891440 ,203 ,22.8 
Aisen ,107297 ,5 ,4.7 
Magallanes ,178362 ,114 ,63.9 
Total pais ,19458310 ,3404 ,17.5 
