,,Hombre,,,Mujer,,,Total,
Grupo edad ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,9 ,O ,1.5 ,13 ,1 ,2.2 ,22 ,1 ,1.8 
05 09 anos ,11 ,1 ,1.7 ,16 ,1 ,2.5 ,27 ,1 ,2.1 
10 14 anos ,21 ,1 ,3.3 ,20 ,1 ,3.2 ,41 ,1 ,3.2 
15 19 anos ,42 ,2 ,6.6 ,52 ,3 ,8.4 ,94 ,2 ,7.5 
20 24 anos ,125 ,6 ,17.1 ,138 ,7 ,19.4 ,263 ,6 ,18.2 
25 29 anos ,236 ,12 ,28.2 ,266 ,13 ,32.8 ,502 ,12 ,30.4 
30 34 anos ,274 ,13 ,33.8 ,281 ,14 ,35.8 ,555 ,14 ,34.8 
35 39 anos ,251 ,12 ,34.6 ,252 ,12 ,35.5 ,503 ,12 ,35.0 
40 44 anos ,220 ,11 ,32.6 ,209 ,10 ,31.1 ,429 ,11 ,31.8 
45 49 anos ,206 ,10 ,32.6 ,196 ,10 ,30.6 ,402 ,10 ,31.6 
50 54 anos ,170 ,8 ,28.3 ,172 ,8 ,27.6 ,342 ,8 ,27.9 
55 59 anos ,148 ,7 ,26.7 ,130 ,6 ,22.0 ,278 ,7 ,24.3 
60 64 anos ,110 ,5 ,23.4 ,105 ,5 ,20.3 ,215 ,5 ,21.7 
65 69 anos ,75 ,4 ,19.8 ,64 ,3 ,14.7 ,139 ,3 ,17.1 
70 74 anos ,61 ,3 ,23.1 ,56 ,3 ,17.5 ,117 ,3 ,20.1 
75 79 anos ,46 ,2 ,26.1 ,39 ,2 ,16.4 ,85 ,2 ,20.5 
80 y mas anos ,37 ,2 ,18.8 ,31 ,2 ,8.8 ,68 ,2 ,12.4 
Total ,2042 ,,21.3 ,2040 ,,20.7 ,4082 ,,21.0 
