Region,Poblacion,NodeCasosconfirmados,Tasaincidencia
Arica y Parinacota ,252.110 ,107 ,"42,4 "
Tarapaca ,382.773 ,38 ,"9,9 "
Antofagasta ,691.854 ,117 ,"16,9 "
Atacama ,314.709 ,13 ,"4,1 "
Coquimbo ,836.096 ,64 ,"7,7 "
Valparaiso ,1.960.170 ,248 ,"12,7 "
Metropolitana ,8.125.072 ,3.448 ,"42,4 "
O'Higgins ,991.063 ,45 ,"4,5 "
Maule ,1.131.939 ,134 ,"11,8 "
Nuble ,511.551 ,606 ,"118,5 "
Biobio ,1.663.696 ,490 ,"29,5 "
Araucania ,1.014.343 ,739 ,"72,9 "
LOs Rios ,405.835 ,130 ,"32,0 "
Los Lagos ,891.440 ,364 ,"40,8 "
Aisen ,107.297 ,7 ,"6,5 "
Magallanes ,178.362 ,377 ,"211,4 "
Tota pais ,19.458.310 ,6.927 ,"35,6 "
