Region,Poblacion,Nodecasosconfirmados,Tasaincidenciaacumulada
Arica y Parinacota ,252.110 ,124 ,"49,2 "
Tarapaca ,382.773 ,62 ,"16,2 "
Antofagasta ,691.854 ,176 ,"25,4 "
Atacama ,314.709 ,13 ,"4,1 "
Coquimbo ,836.096 ,66 ,"7,9 "
Valparaiso ,1.960.170 ,299 ,"15,3 "
Metropolitana ,8.125.072 ,4.334 ,"53,3 "
O'Higgins ,991.063 ,54 ,"5,4 "
Maule ,1.131.939 ,152 ,"13,4 "
Nuble ,511.551 ,634 ,"123,9 "
Biobio ,1.663.696 ,542 ,"32,6 "
Araucania ,1.014.343 ,826 ,"81,4 "
LOs Rios ,405.835 ,150 ,"37,0 "
Los Lagos ,891.440 ,390 ,"43,7 "
Aisen ,107.297 ,7 ,"6,5 "
Magallanes ,178.362 ,444 ,"248,9 "
Tota pais ,19.458.310 ,8.273 ,"42,5 "
