edad,,Hombre,,,Mujer,,,Total,
Grupo ,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,61 ,"1,3 ","10,1 ",65 ,"1,3 ","11,1 ",126 ,"1,3 ","10,6 "
05 09 anos ,42 ,"0,9 ","6,4 ",53 ,"1,1 ","8,4 ",95 ,"1,0 ","7,4 "
10 14 anos ,81 ,"1,7 ","12,6 ",62 ,"1,3 ","10,0 ",143 ,"1,5 ","11,3 "
15 19 anos ,109 ,"2,3 ","17,0 ",142 ,"2,9 ","22,9 ",251 ,"2,6 ","19,9 "
20 24 anos ,343 ,"7,1 ","46,8 ",339 ,"6,9 ","47,7 ",682 ,"7,0 ","47,3 "
25 29 anos ,577 ,"11,9 ","68,9 ",599 ,"12,2 ","73,8 ",1176 ,"12,1 ","71,3 "
30 34 anos ,608 ,"12,6 ","75,0 ",635 ,"13,0 ","80,8 ",1243 ,"12,8 ","77,9 "
35 39 anos ,543 ,"11,2 ","74,9 ",552 ,"11,3 ","77,8 ",1095 ,"11,3 ","76,3 "
40 44 anos ,467 ,"9,7 ","69,2 ",493 ,"10,1 ","73,4 ",960 ,"9,9 ","71,3 "
45 49 anos ,446 ,"9,2 ","70,7 ",449 ,"9,2 ","70,1 ",895 ,"9,2 ","70,4 "
50 54 anos ,393 ,"8,1 ","65,4 ",392 ,"8,0 ","62,9 ",785 ,"8,1 ","64,1 "
55 59 anos ,356 ,"7,4 ","64,2 ",336 ,"6,9 ","56,9 ",692 ,"7,1 ","60,4 "
60 64 anos ,270 ,"5,6 ","57,3 ",245 ,"5,0 ","47,3 ",515 ,"5,3 ","52,1 "
65 69 anos ,179 ,"3,7 ","47,2 ",160 ,"3,3 ","36,7 ",339 ,"3,5 ","41,6 "
70 74 anos ,152 ,"3,1 ","57,6 ",133 ,"2,7 ","41,7 ",285 ,"2,9 ","48,9 "
75 79 anos ,103 ,"2,1 ","58,4 ",92 ,"1,9 ","38,8 ",195 ,"2,0 ","47,1 "
80 y mas anos ,105 ,"2,2 ","53,4 ",148 ,"3,0 ","42,2 ",253 ,"2,6 ","46,3 "
Total ,4835 ,100 ,"50,4 ",4895 ,100 ,"49,6 ",9730 ,100 ,"50,0 "
