Region,Poblacion,Ndecasosconfirmados,Tasaincidenciaacumulada
Arica y Parinacota ,252110 ,180 ,71.4 
Tarapaca ,382773 ,114 ,29.8 
Antofagasta ,691854 ,326 ,47.1 
Atacama ,314709 ,13 ,4.1 
Coquimbo ,836096 ,70 ,8.4 
Valparaiso ,1960170 ,421 ,21.5 
Metropolitana ,8125072 ,6083 ,74.9 
O'Higgins ,991063 ,59 ,6.0 
Maule ,1131939 ,328 ,29.0 
Nuble ,511551 ,703 ,137.4 
Biobio ,1663696 ,658 ,39.6 
Araucania ,1014343 ,1113 ,109.7 
Los Rios ,405835 ,171 ,42.1 
Los Lagos ,891440 ,445 ,49.9 
Aisen ,107297 ,7 ,6.5 
Magallanes ,178362 ,605 ,339.2 
Total pais ,19458310 ,11296 ,58.1 
