Grupoedad,,Hombre,,,Mujer,,,Total,
,No ,% ,Tasa ,No ,% ,Tasa ,No ,% ,Tasa 
00 04 anos ,177 ,1.9 ,29.2 ,179 ,2.0 ,30.7 ,356 ,1.9 ,29.9 
05 09 anos ,126 ,1.3 ,19.3 ,132 ,1.5 ,21.0 ,258 ,1.4 ,20.1 
10 14 anos ,173 ,1.8 ,26.9 ,169 ,1.9 ,27.2 ,342 ,1.9 ,27.0 
15 19 anos ,243 ,2.6 ,37.9 ,311 ,3.5 ,50.2 ,554 ,3.0 ,44.0 
20 24 anos ,720 ,7.6 ,98.2 ,706 ,7.9 ,99.4 ,1426 ,7.7 ,98.8 
25 29 anos ,1232 ,13.0 ,147.1 ,1138 ,12.7 ,140.2 ,2370 ,12.9 ,143.7 
30 34 anos ,1201 ,12.7 ,148.2 ,1140 ,12.7 ,145.0 ,2341 ,12.7 ,146.7 
35 39 anos ,1032 ,10.9 ,142.3 ,957 ,10.7 ,134.8 ,1989 ,10.8 ,138.6 
40 44 anos ,895 ,9.4 ,132.5 ,819 ,9.1 ,121.9 ,1714 ,9.3 ,127.2 
45 49 anos ,839 ,8.9 ,132.9 ,734 ,8.2 ,114.6 ,1573 ,8.5 ,123.7 
50 54 anos ,733 ,7.7 ,122.0 ,683 ,7.6 ,109.6 ,1416 ,7.7 ,115.6 
55 59 anos ,677 ,7.1 ,122.0 ,616 ,6.9 ,104.3 ,1293 ,7.0 ,112.9 
60 64 anos ,480 ,5.1 ,101.9 ,394 ,4.4 ,76.0 ,874 ,4.7 ,88.3 
65 69 anos ,342 ,3.6 ,90.3 ,287 ,3.2 ,65.9 ,629 ,3.4 ,77.2 
70 74 anos ,225 ,2.4 ,85.2 ,229 ,2.6 ,71.7 ,454 ,2.5 ,77.8 
75 79 anos ,175 ,1.8 ,99.2 ,158 ,1.8 ,66.6 ,333 ,1.8 ,80.5 
80 y mas anos ,207 ,2.2 ,105.3 ,304 ,3.4 ,86.8 ,511 ,2.8 ,93.4 
Total ,9477 ,100 ,98.7 ,8956 ,100 ,90.8 ,18433 ,100 ,94.7 
