,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas,Fallecidos,%Total
Arica - Parinacota ,297 ,18 ,13 ,5 ,4 ,1.75% 
Tarapaca ,200 ,2 ,O ,2 ,1 ,1.18% 
Antofagasta ,589 ,43 ,37 ,6 ,7 ,3.46% 
Atacama ,43 ,O ,O ,O ,O ,0.25% 
Coquimbo ,77 ,1 ,O ,1 ,O ,0.45% 
Valparaiso ,568 ,9 ,4 ,5 ,12 ,3.34% 
Metropolitana ,10516 ,891 ,812 ,79 ,114 ,61.83% 
O'Higgins ,109 ,1 ,1 ,O ,1 ,0.64% 
Maule ,394 ,1 ,1 ,O ,13 ,2.32% 
Nuble ,768 ,O ,O ,O ,14 ,4.52% 
Biobio ,729 ,2 ,O ,2 ,7 ,4.29% 
Araucania ,1295 ,2 ,0 ,2 ,36 ,7.61% 
De los Rios ,189 ,O ,O ,O ,4 ,1.11% 
De los Lagos ,501 ,14 ,13 ,1 ,10 ,2.95% 
Aysen ,7 ,O ,O ,O ,O ,0.04% 
Magallanes ,726 ,1 ,1 ,O ,11 ,4.27% 
,17008 ,985 ,882 ,103 ,234 ,100% 
