,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,Fallecidos,%Total
Arica - Parinacota ,318 ,3 ,3 ,0 ,5 ,1.38% 
Tarapaca ,339 ,17 ,13 ,4 ,1 ,1.47% 
Antofagasta ,855 ,44 ,28 ,16 ,7 ,3.71% 
Atacama ,80 ,2 ,O ,2 ,0 ,0.35% 
Coquimbo ,97 ,O ,O ,0 ,O ,0.42% 
Valparaiso ,716 ,29 ,24 ,5 ,16 ,3.11% 
Metropolitana ,15582 ,875 ,784 ,91 ,150 ,67.61% 
O'Higgins ,145 ,9 ,8 ,1 ,3 ,0.63% 
Maule ,408 ,O ,O ,O ,13 ,1.77% 
Nuble ,791 ,2 ,1 ,1 ,17 ,3.43% 
Biobio ,789 ,15 ,12 ,3 ,8 ,3.42% 
Araucania ,1362 ,10 ,0 ,10 ,36 ,5.91% 
De los Rios ,200 ,1 ,1 ,0 ,4 ,0.87% 
De los Lagos ,541 ,16 ,11 ,5 ,10 ,2.35% 
Aysen ,7 ,0 ,0 ,0 ,0 ,0.03% 
Magallanes ,818 ,9 ,8 ,1 ,11 ,3.55% 
,23048 ,1032 ,893 ,139 ,281 ,100% 
