,Casosnuevos,CasosTotales,%Total,Fallecidos
Arica - Parinacota ,10 ,63 ,1% ,O 
Tarapaca ,3 ,26 ,0% ,O 
Antofagasta ,8 ,77 ,1% ,1 
Atacama ,2 ,8 ,0% ,O 
Coquimbo ,4 ,56 ,1% ,O 
Valparaiso ,11 ,225 ,4% ,2 
Metropolitana ,198 ,2.548 ,46% ,14 
Libertador Bernardo O'Higgins ,1 ,43 ,1% ,O 
Maule ,11 ,119 ,2% ,2 
Nuble ,39 ,561 ,10% ,5 
Biobio ,29 ,439 ,8% ,2 
Araucania ,57 ,669 ,12% ,15 
De los Rios ,5 ,114 ,2% ,2 
De los Lagos ,26 ,325 ,6% ,2 
Aysen ,O ,7 ,0% ,O 
Magallanes ,26 ,266 ,5% ,3 
,430 ,5.546 ,100% ,48 
