Fecha,#examenesinformados,#totaldeexamenes,#laboratoriosquereporta
01-04-2020 ,2898 ,38040 ,23 
02-04-2020 ,2685 ,40725 ,27 
03-04-2020 ,3405 ,44130 ,36 
04-04-2020 ,4467 ,48613 ,39 
05-04-2020 ,3343 ,51956 ,37 
06-04-2020 ,2908 ,54864 ,38 
07-04-2020 ,2258 ,57122 ,32 
08-04-2020 ,3269 ,60391 ,33 
09-04-2020 ,7962 ,68353 ,42 
10-04-2020 ,4444 ,72797 ,37 
11-04-2020 ,3577 ,76374 ,27 
12-04-2020 ,5897 ,82271 ,41 
13-04-2020 ,2764 ,85035 ,31 
14-04-2020 ,2759 ,87794 ,37 
15-04-2020 ,4079 ,91873 ,37 
16-04-2021 ,6551 ,98424 ,43 
17-04-2020 ,5449 ,103873 ,44 
18-04-2020 ,5018 ,108891 ,45 
19-04-2020 ,4758 ,113649 ,38 
20-04-2020 ,5178 ,118827 ,38 
21-04-2020 ,3530 ,122357 ,42 
22-04-2020 ,6365 ,128722 ,44 
23-04-2020 ,6425 ,135147 ,47 
24-04-2020 ,7120 ,142267 ,54 
25-04-2020 ,6945 ,149212 ,55 
26-04-2020 ,6763 ,155975 ,56 
27-04-2020 ,5260 ,161235 ,44 
28-04-2020 ,4930 ,166165 ,55 
29-04-2020 ,6454 ,172619 ,58 
30-04-2020 ,7898 ,180517 ,65 
01-05-2020 ,8916 ,189433 ,57 
02-05-2020 ,9967 ,199400 ,54 
03-05-2020 ,6818 ,206218 ,52 
04-05-2020 ,7913 ,214131 ,46 
05-05-2020 ,7964 ,222095 ,55 
06-05-2020 ,10013 ,232108 ,58 
07-05-2020 ,12118 ,244226 ,63 
08-05-2020 ,11735 ,255961 ,57 
09-05-2020 ,11943 ,267904 ,56 
10-05-2020 ,12780 ,280684 ,51 
