Fecha,Casostotalesacumulados,Casosactivos,CasosRecuperados,Fallecidos,Nuevosrecuperados,Casosnuevosconsintomas,Casosnuevossinsintomas
10-04-2020 ,6501 ,4891 ,1545 ,65 ,296 ,529 ,
11-04-2020 ,6927 ,5018 ,1836 ,73 ,291 ,426 ,
12-04-2020 ,7213 ,5074 ,2059 ,80 ,223 ,286 ,
13-04-2020 ,7525 ,5076 ,2367 ,82 ,308 ,312 ,
14-04-2020 ,7917 ,5179 ,2646 ,92 ,279 ,392 ,
15-04-2020 ,8273 ,5242 ,2937 ,94 ,291 ,356 ,
16-04-2020 ,8807 ,5403 ,3299 ,105 ,362 ,534 ,
17-04-2020 ,9252 ,5515 ,3621 ,116 ,322 ,445 ,
18-04-2020 ,9730 ,5569 ,4035 ,126 ,414 ,478 ,
19-04-2020 ,10088 ,5617 ,4338 ,133 ,303 ,358 ,
20-04-2020 ,10507 ,5692 ,4676 ,139 ,338 ,419 ,
21-04-2020 ,10832 ,5716 ,4969 ,147 ,293 ,325 ,
22-04-2020 ,11296 ,5750 ,5386 ,160 ,417 ,464 ,
23-04-2020 ,11812 ,5840 ,5804 ,168 ,418 ,516 ,
24-04-2020 ,12306 ,5805 ,6327 ,174 ,523 ,494 ,
25-04-2020 ,12858 ,5931 ,6746 ,181 ,419 ,552 ,
26-04-2020 ,13331 ,6118 ,7024 ,189 ,278 ,473 ,
27-04-2020 ,13813 ,6288 ,7327 ,198 ,303 ,482 ,
28-04-2020 ,14365 ,6448 ,7710 ,207 ,383 ,552 ,
29-04-2020 ,14885 ,6612 ,8057 ,216 ,347 ,520 ,250 
