Pacto,Sub Pacto,Partido,Candidato,Ponderado
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,VERONICA CASTRO AVELLO,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,JOSE ANTONIO SABAT MENDEZ,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,ANA MARIA SERMEÑO VERA,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,LUIS RAMON RECABARREN GALDAMES,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,NICOLAS PREUSS HERRERA,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PDC E INDEPENDIENTES,PARTIDO DEMOCRATA CRISTIANO,FRANCISCO MARIO VASQUEZ OLIVARES,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,ISMAEL CALDERON LARACH,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,MOISES BUGUEÑO GOMEZ,0
PACTO NUEVA MAYORIA PARA CHILE,SUBPACTO PS E INDEPENDIENTES,PARTIDO SOCIALISTA DE CHILE ,FELIPE SALGADO MONDACA,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,PABLO RIVEROS QUIROZ,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,PARTIDO ECOLOGISTA VERDE ,ERNESTO MEDINA AGUAYO,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,ROSARIO DEL CARMEN CARVAJAL ARAYA,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,DAVID CASTILLO PALMA,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,NICOLAS RAVEAU FELIU,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,VLADIMIR NOLBERTO HUICHACURA QUINTRIQUEO,0
PACTO PODER ECOLOGISTA Y CIUDADANO,,INDEPENDIENTE,CRISTIAN ALBERTO MIRANDA SEPULVEDA,0
