,Direccion,Mesa,Comuna
0,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
1,PINTOR CICARELLI 509 C,48 V,San Joaquin
2,EMCO 5002,76 M,San Joaquin
3,SANNNICOLAS 353 A,7 V,San Joaquin
4,DEPARTAMENTAL 364,58 V,San Joaquin
5,DEPARTAMENTAL 5399,53 M,San Joaquin
6,PINTOR DURERO,SAN JOAQUIN,San Joaquin
7,PASAJE SINFONICO 5751 VILLA BERILOZ,28 V,San Joaquin
8,BERLIOZ 5742,87 V,San Joaquin
9,HAYDN 5780,109 V,San Joaquin
10,TOMAS DE CAMPANELLA 5689,65 M,San Joaquin
11,TOMAS DE CAMPANELLA 5689 POB. LAS INDUSTRIAS,83 V,San Joaquin
12,TOMAS DE CANPANELLA 5689,89 M,San Joaquin
13,STA ROSA 3934,48 V,San Joaquin
14,AV STA ROSA 3934 VI STA ROSA,124 V,San Joaquin
15,PJE PINTOR GOYA 3693,115 V,San Joaquin
16,PINTOR GOYA 3693 DPTO 43,12 V,San Joaquin
17,MARSELLA 167,107 V,San Joaquin
18,TOMAS DE CAMPABELLA 5591,77 V,San Joaquin
19,PJE. RIO BIOBIO 3831,86 V,San Joaquin
20,TOMAS DE CAMPANELLA 5591,55 M,San Joaquin
21,AV. LAS INDUSTRIAS 5480,1 V,San Joaquin
22,LLICO 202 B,44 M,San Joaquin
23,LLICO 202 B,111 V,San Joaquin
24,PSJE EDMUNDO DE AMICIS 196 B,30 V,San Joaquin
25,EIO CISNES 3820,106 M,San Joaquin
26,VARAS MENA,SAN JOAQUIN,San Joaquin
27,FRANCISCO DE CASTAÑEDA 5218 POBLACION MUSA,117 V,San Joaquin
28,FCO DE CASTAÑEDA 5218,47 V,San Joaquin
29,CHOPIN 3049,104 V,San Joaquin
30,LIRA 2353,117 M,San Joaquin
31,A BIANCHI 182,85 M,San Joaquin
32,RIO CISNE 3664,94 M,San Joaquin
33,D DE MEZA 5390,44 M,San Joaquin
34,LEAL 458,98 M,San Joaquin
35,A BRUNELLESKY 3521,86 M,San Joaquin
36,ARQ BRUNELLESKY 3521,50 V,San Joaquin
37,FCA DE RIMINI 3621,35 V,San Joaquin
38,PJE. RIO RAPEL 187 D /306,74 V,San Joaquin
39,TIGNAMAR 5150 E BELLO N,121 M,San Joaquin
40,PJE TIGNAMAR 5150,43 M,San Joaquin
41,ALONSO DE OJEDA 4656 PB MADEMSA,125 V,San Joaquin
42,TITO MUN 388,24 V,San Joaquin
43,DEBUSSY 2969,52 M,San Joaquin
44,VERDI 245 PB CHILE,120 V,San Joaquin
45,MOZART 275 VI LAS FLORES,71 V,San Joaquin
46,ZENON TORREALBA 581,131 M,San Joaquin
47,PJE. SPRINGER 3171,81 M,San Joaquin
48,COPERNICO 4755,128 M,San Joaquin
49,FRANCISCO DE CASTAÑEDA 5218,60 V,San Joaquin
50,MILLAHUE 260,69 M,San Joaquin
51,JUAN PLANAS 6093,94 M,San Joaquin
52,FRANCISCO DE ZARATE 3414,72 M,San Joaquin
53,GLUCK 3264,51 M,San Joaquin
54,PAICAVI 18346,133 M,San Joaquin
55,PJE CALIPSO 6360,107 M,San Joaquin
56,PSJE CALIPSPO 6360,11 V,San Joaquin
57,MOZART 275,38 V,San Joaquin
58,MOZART 275,65 V,San Joaquin
59,PASAJE RIO BECKER 3808,51 M,San Joaquin
60,A. BRUNELLESKY,SAN JOAQUIN,San Joaquin
61,ARQUITECTO BRUNELESKY,SAN JOAQUIN,San Joaquin
62,ARQUITECTO BRUNELLESKY,SAN JOAQUIN,San Joaquin
63,ARQUITECTO BRUNELLESKY,SAN JOAQUIN,San Joaquin
64,VECINAL 6061,58 V,San Joaquin
65,FRANCISCO DE TOLEDO 5228,27 V,San Joaquin
66,FRANCISCO DE TOLEDO 5320 POBLACION LA MUSSA,20 M,San Joaquin
67,VECINAL 6061,56 V,San Joaquin
68,PJ PUREO 274,107 M,San Joaquin
69,AV VECINAL 6061,66 M,San Joaquin
70,VARAS MENA 337,112 M,San Joaquin
71,VARAS MENA 337,26 V,San Joaquin
72,ANTARTICA 3365,39 M,San Joaquin
73,ANTARTICA 3365,15 M,San Joaquin
74,PJE CARLOS PEZOA VELIZ 5772 PCARLOS PEZOA VELIZ,26 V,San Joaquin
75,EMCO 4861,24 M,San Joaquin
76,PJ 12 2 11 PB J E BELLO,91 V,San Joaquin
77,PINTOR GOYA 3420,49 V,San Joaquin
78,PJ SPRINGHILL 3171 PB A PINTO,118 V,San Joaquin
79,ANTARTICA 3372,87 M,San Joaquin
80,PJ 24 CS 5030 PB JOAQUIN BELLO NORTE,13 M,San Joaquin
81,PJE CODPA 5030,11 V,San Joaquin
82,PJ 24-5030 J E BELLO NORTE,25 M,San Joaquin
83,BERLIOZ 6275,62 M,San Joaquin
84,BERLIOZ 6275,36 M,San Joaquin
85,BORODIN 3123,64 M,San Joaquin
86,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
87,AV. VICUÑA MACKENNA 4927 1305 B,11 V,San Joaquin
88,PJ HITO 6116,77 M,San Joaquin
89,BERLIOZ 6275,62 M,San Joaquin
90,PJE HITO 6116,123 M,San Joaquin
91,PASAJE CALIPSO 6345 LA CASTRINA,95 M,San Joaquin
92,VICTOR GANDANILLA DEPTO 329 3ER PISO 325 B,86 V,San Joaquin
93,GUIDO D AREZZO 3186,63 M,San Joaquin
94,PINTOR ORTIZ DE ZARATE 444 POB. NUEVA SIERRA BELLA,70 V,San Joaquin
95,PINTOR ORTIZ DE ZARATE 444,66 M,San Joaquin
96,ING DUDGE 429,75 M,San Joaquin
97,SPRINGHILL,SAN JOAQUIN,San Joaquin
98,AVDA. LAS INDUSTRIAS,SAN JOAQUIN,San Joaquin
99,FCA DE RININI 3621,58 V,San Joaquin
100,FRANCISCA DE RIMINI 3621,130 M,San Joaquin
101,FRANCISCA DE RIMINI 3621,135 M,San Joaquin
102,PASAJE CAUCAHUE 237,89 M,San Joaquin
103,PASAJE ANAY 232,55 V,San Joaquin
104,PASAJE ANAY 232,100 M,San Joaquin
105,PASAJE ANAY 232,106 M,San Joaquin
106,DEPARTAMENTAL 100,77 V,San Joaquin
107,SALOMON SUMAR 3599 DP 209,123 V,San Joaquin
108,TITO MUNDT 394,93 M,San Joaquin
109,TITO MUNDT 394,97 V,San Joaquin
110,PEDRO MIRA 383 A,65 M,San Joaquin
111,H HESSE 202 B,39 V,San Joaquin
112,JOSE INGENIEROS 3218 DEP 13,43 V,San Joaquin
113,PJE. CAUCAUQUE 227,28 M,San Joaquin
114,PJE.CAUCAHUE 231 POBL J.E.BELLO,36 M,San Joaquin
115,PASAJE CAUCAHUE 227 B,77 V,San Joaquin
116,MAESTRANZA 3483,55 V,San Joaquin
117,TOMAS DEL CAMPANELLA 5591,85 M,San Joaquin
118,TOMAS DE CAMPANELLA 5591,129 M,San Joaquin
119,TOMAS DE CAMPANILLA 5591,48 V,San Joaquin
120,ESCIPION 5590,47 M,San Joaquin
121,AV. VICUÑA MACKENNA 2935 TORRE C / DPTO. 2105,116 V,San Joaquin
122,JUAN ARAVENA 461,112 V,San Joaquin
123,TOMAS DE CAMPANILLA 5591,48 V,San Joaquin
124,JUAN ARAVENA 461,83 V,San Joaquin
125,TOMAS DE CAMPANELLA 5591,55 V,San Joaquin
126,JUAN A 461,47 M,San Joaquin
127,PIRAMIDE 449 POB MUSSA,24 M,San Joaquin
128,LLICO 202 B,112 V,San Joaquin
129,PIRAMIDE 296,76 M,San Joaquin
130,VARAS MENA 322,42 V,San Joaquin
131,PIRAMIDE 296,33 M,San Joaquin
132,LIRA 2715,11 V,San Joaquin
133,DARWIN,SAN JOAQUIN,San Joaquin
134,PJ 4 32 08 PB A PINTO,97 V,San Joaquin
135,PJ 4 3208 PB A PINTO,40 V,San Joaquin
136,P LO ANCO 4950,2 V,San Joaquin
137,PINTOR GOYA 3420,49 M,San Joaquin
138,PINTOR GOYA 3420,102 M,San Joaquin
139,PINTRO GOYA 3420,63 V,San Joaquin
140,PINTOR GOYA 3420,94 M,San Joaquin
141,LAS INDUSTRIAS,SAN JOAQUIN,San Joaquin
142,PINTOR CICARELLI 524,92 V,San Joaquin
143,JORGE CANNING 677 VILLA POLICARPO TORO,32 V,San Joaquin
144,VENOZZO GOZOLLI 4630,27 V,San Joaquin
145,V GOZOLLI 4630,53 V,San Joaquin
146,PSJE BERONESE 5385,4 M,San Joaquin
147,TITO MUNDT 388,20 V,San Joaquin
148,TITO MUNT 388 VILLA FCO ENCINA,20 M,San Joaquin
149,SAN GREGORIO 3310,23 M,San Joaquin
150,SAN GREGORIO 3310,13 V,San Joaquin
151,PRENSA 369,38 M,San Joaquin
152,AVDA. SANTA ROSA 4490 DPTO. 104,70 M,San Joaquin
153,PJ CALIPSO 6360 PB LA CASTRINA,74 V,San Joaquin
154,PASAJE ANAY 232 POBLACION JOAQUIN EDUARS BELLO SUR,52 V,San Joaquin
155,PJ CALIPSO 6360 LA CASTRINA,13 V,San Joaquin
156,PJ CAPILSO 6360,48 V,San Joaquin
157,CALIPSO 6360 PB LA CASTRINA,83 V,San Joaquin
158,DEPARTAMENTAL 425,51 M,San Joaquin
159,PASAJE LONCOCHE 6121 VILLA ARAUCANIA,121 M,San Joaquin
160,MEHUIN 2859 DPTO 32,44 V,San Joaquin
161,PALESTINA 2960,55 M,San Joaquin
162,GERMAN HESSE 202B VILLA HAYDN 0,77 M,San Joaquin
163,ZENON TORREALBA,SAN JOAQUIN,San Joaquin
164,ALONSO DE OJEDA 4679 PB MADEMSA,114 M,San Joaquin
165,ALONSO DE OJEDA 4679 PB MADEMSA,122 M,San Joaquin
166,ARAGON 374 VI CERVANTES,6 M,San Joaquin
167,PJ TOLTEN 5941 V LA ARAUCANIA,123 V,San Joaquin
168,A BRUNELLESTKY 3521,109 V,San Joaquin
169,HAYDN 2975,66 M,San Joaquin
170,PJ LA MARQUESAS 6269 PB LA CASTRINA,123 V,San Joaquin
171,LAS MARQUESAS 6269,85 V,San Joaquin
172,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
173,LAS MARQUESAS 6269,131 M,San Joaquin
174,BENOZZO GOZZOLLI 4619,111 V,San Joaquin
175,URETA COX 138,28 V,San Joaquin
176,SEBASTOPOL 445,131 M,San Joaquin
177,LOANCO 4950 V LA UNION,70 V,San Joaquin
178,LLICO 333,83 V,San Joaquin
179,DAVILA LARRAIN 2318,124 V,San Joaquin
180,PJ. TAITI 6297,86 M,San Joaquin
181,PJS. TAITI,SAN JOAQUIN,San Joaquin
182,PJ 2 32 09 PB A PINTO,43 M,San Joaquin
183,DARWIN 344 PB A PINTO,58 V,San Joaquin
184,AV STA ROSA 4490 DEPTO 222,108 M,San Joaquin
185,PJE RIO IMPERIAL 3777,9 V,San Joaquin
186,DIAGONAL STA ELENA 2580,52 M,San Joaquin
187,PASAJE LINO 3513,64 V,San Joaquin
188,DIAGONAL STA ELENA 2580,130 M,San Joaquin
189,PJ AYSEN 3208 PB A PINTO,132 M,San Joaquin
190,PIRAMIDE 296,77 V,San Joaquin
191,CHOPIN 3049,84 M,San Joaquin
192,CHOPIN 3049 V LOS MUSICOS DEL MUNDO,123 V,San Joaquin
193,F DE CASTAÑEDA 4841,73 M,San Joaquin
194,DEPARTAMENTAL 330 BLOCK 2 DPTO 4 VILLA LAUTARO,121 M,San Joaquin
195,TITO MUN 395,124 V,San Joaquin
196,ING BUDAGE 152,69 M,San Joaquin
197,JOSE INGENIEROS 3236 D /21,59 V,San Joaquin
198,TORO ZAMBRANO 3566,70 M,San Joaquin
199,INGENIERO BUDGE 429,23 V,San Joaquin
200,ING BUDGE 429,75 M,San Joaquin
201,MAESTRANZA 3373,7 V,San Joaquin
202,PJ 9 2 54 PB J E BELLO SUR,59 M,San Joaquin
203,PJE.DOCA 254,13 V,San Joaquin
204,COPACABANA 462,85 V,San Joaquin
205,MATEO Y TORO ZAMBRANO 3457,103 M,San Joaquin
206,PJE GIRASOL 6283,129 M,San Joaquin
207,PJE LINO 3607 SUMAR 3,69 M,San Joaquin
208,PSJE PACHINCO N 2676 PUENTE ALTO,126 M,San Joaquin
209,PJE GIRASOL 6283,33 M,San Joaquin
210,PJE.JAMAICA 323,10 V,San Joaquin
211,PJE LOLOL 1550,8 M,San Joaquin
212,DIAGONAL STA ELENA 2819 DP 11,91 V,San Joaquin
213,PJ ASTROLABIO 352 PB VD SILVA,82 V,San Joaquin
214,LLICO 140,132 M,San Joaquin
215,INGENIERO BUDGE 188 VILLA THOMAS A. EDISON,42 V,San Joaquin
216,ING BUDGE 188,13 V,San Joaquin
217,PJ 38 278 PB J E BELLO SUR,36 M,San Joaquin
218,1 ORIENTE 3742,86 V,San Joaquin
219,RIO MALLECO 3742 POB. PINAR,117 M,San Joaquin
220,RIO MALLECO 742,70 M,San Joaquin
221,TINTORETTO 4818,41 V,San Joaquin
222,PASAJE CAUCURA 6397,1 M,San Joaquin
223,DIAGONAL SANTA ELENA 2565 1605,61 V,San Joaquin
224,CORELLI 3723,21 M,San Joaquin
225,CHACALLUTA 230,119 M,San Joaquin
226,STRAWISKY,SAN JOAQUIN,San Joaquin
227,BERLIOZ 6090,110 V,San Joaquin
228,CHACALLUTA 217,117 M,San Joaquin
229,JUAN PLANA 6386 1 LA CASTRINA,96 V,San Joaquin
230,LUMACO 67,42 V,San Joaquin
231,RIVAS 605 E,68 M,San Joaquin
232,BERLIOZ 6090,123 M,San Joaquin
233,BERLISZ 6090,111 V,San Joaquin
234,PJ ARAGON 398 VI CERVANTES,136 M,San Joaquin
235,SPRINGHILL 3275,73 M,San Joaquin
236,PASAJE CORELLI 3694 DPTO 34,105 M,San Joaquin
237,PASAJE CORELLI 3694 DPTO 34,29 V,San Joaquin
238,A BRUNELLESKY 3819,106 M,San Joaquin
239,A BRUNELLESKY 3819,92 M,San Joaquin
240,PJ 19 ORIENTE 6397,111 M,San Joaquin
241,PASAJE CAUCURA 6397,55 M,San Joaquin
242,PJ CUCURA 6397 VI BRASIL,134 M,San Joaquin
243,CALLE Q 265,37 V,San Joaquin
244,MIGUEL DE UNAMUNO 6292,65 V,San Joaquin
245,PINTOR CICARELLI 240 DPTO 111,107 V,San Joaquin
246,DIAGONAL SANTA ELENA 2605 111,51 V,San Joaquin
247,DAYDEN 5140,8 M,San Joaquin
248,VECINAL 5612 BLOCK 11 DP 42,98 M,San Joaquin
249,VECINAL 5612,SAN JOAQUIN,San Joaquin
250,CORELLI 3410,106 M,San Joaquin
251,CORELLI 3410,129 M,San Joaquin
252,CORELLI 3410,42 V,San Joaquin
253,PINAR DEL RIO 66,88 V,San Joaquin
254,FCA DE RIMINI N 3807,95 V,San Joaquin
255,FCA DE RIMINI 3742,79 M,San Joaquin
256,PJE ALEMANIA 6218,129 M,San Joaquin
257,PEDRO MIRA 355,103 M,San Joaquin
258,DOMICILIO,CIRCUNSCRIPCIÓN,San Joaquin
259,CORELI 3796 NN EL PINAR,96 M,San Joaquin
260,FRANCISCO DE TOLEDO 4790,75 V,San Joaquin
261,FRANCISCO DE TOLEDO 4790,52 V,San Joaquin
262,CORELLI 3796,107 M,San Joaquin
263,ALCALDE PEDRO ALARCON BLOCK 130 DPTO 14,115 M,San Joaquin
264,PJE CORELLI 3796,71 M,San Joaquin
265,PJ LINO 3422 SUMAR 1,20 M,San Joaquin
266,SAN NICOLAS 277,90 M,San Joaquin
267,CARLOS PEZOA VELIZ 5773,126 M,San Joaquin
268,CARLOS PEZOA VELIZ 5773,33 V,San Joaquin
269,VARAS MENAS 457 JUAN PLANAS,118 V,San Joaquin
270,BRASILIA 6270,53 M,San Joaquin
271,SALVADOR ALLENDE 417,87 M,San Joaquin
272,PJE CARLOS PEZOA VELIZ 5773,15 M,San Joaquin
273,COÑIMO 280,13 V,San Joaquin
